X	rep	beta0	beta	q	sim_hash	sim_id	seed
X_bin_med	1	-5	0.5	1	50d2c27e0be2d8da25cd4f6d51fd13a3	50d2c	331052
X_bin_med	1	-5	0.5	3	79dd6dab0f2c9e8c39ed6f0b91ce53b0	79dd6	499158
X_bin_med	1	-5	0.5	5	7e332395b6582c40a3e12ea3d1051f51	7e332	516914
X_bin_med	1	-5	1	1	b408c147524aad7e47af6c608c2c1edd	b408c	737420
X_bin_med	1	-5	1	3	dea895fc25b3663f91683b694baf6bbb	dea89	912009
X_bin_med	1	-5	1	5	a3682bf6913514735b3823a017807bcf	a3682	669314
X_bin_med	1	-5	2	1	4d03f226253f19e287074dd20bb38ebf	4d03f	315455
X_bin_med	1	-5	2	3	8295f49556b5febec3857a67a508747d	8295f	534879
X_bin_med	1	-5	2	5	66b5c45c8afa69e87332a6480f34b463	66b5c	420700
X_bin_med	1	-5	4	1	ae771121ee730ce60294f439fdc0da21	ae771	714609
X_bin_med	1	-5	4	3	ef2fec0631d99293f221264f13a8b51c	ef2fe	979710
X_bin_med	1	-5	4	5	b11fd7813bb3c11ee235e86b53b0cf52	b11fd	725501
X_bin_med	1	-4	0.5	1	ac4e351c64f6258502672c6e979941df	ac4e3	705763
X_bin_med	1	-4	0.5	3	a12b3ca790a27426f7369f71534148b7	a12b3	660147
X_bin_med	1	-4	0.5	5	b33114854c6b42f285cea9f15c4be3dd	b3311	733969
X_bin_med	1	-4	1	1	e8dc521277f11df48241217e0b71bc48	e8dc5	953797
X_bin_med	1	-4	1	3	47f540a1ce85d5567347c7e3b941494e	47f54	294740
X_bin_med	1	-4	1	5	fdab32ed68fcd3de01837c27c9d968e4	fdab3	1039027
X_bin_med	1	-4	2	1	e43547afff4c9e3f3887c7d0ad59d881	e4354	934740
X_bin_med	1	-4	2	3	6f44daaa181cd3aab6686ce19d187925	6f44d	455757
X_bin_med	1	-4	2	5	6bcf139f461498a672d3733b760112f3	6bcf1	441585
X_bin_med	1	-4	4	1	9a8b11a7a0d12876e14cebd9b8c25074	9a8b1	633009
X_bin_med	1	-4	4	3	2b99e6fe07fd8bf28fa21092744b91bd	2b99e	178590
X_bin_med	1	-4	4	5	f996b1fa46189e41d1caa54870361dd5	f996b	1022315
X_bin_med	1	-3	0.5	1	a2fbcfb6995d6d17b593ba8d6f14ebe9	a2fbc	667580
X_bin_med	1	-3	0.5	3	6d0e6c89c3861cb07b092d9fa07e3133	6d0e6	446694
