region	rep	q	k	h2	rho	name	gamma	sim_hash	sim_id	seed
chr1_100794065_101983457	1	1	0.01	0.5	0.005	main	0.0025	724ff87b807f8e095d7da006c72ceef8	724ff	468223
chr1_100794065_101983457	1	1	0.01	0.5	0.01	main	0.005	0590813e2a99fa14b52774c3b9e7241b	05908	22792
chr1_100794065_101983457	1	1	0.01	0.5	0.02	main	0.01	8b0852667434fb096be9280848e631a5	8b085	569477
chr1_100794065_101983457	1	1	0.01	0.5	0.04	main	0.02	0950e65e5a30c5628fc7caacbba34f6e	0950e	38158
chr1_100794065_101983457	1	1	0.01	0.5	0.1	main	0.05	88def50ef5e24534b8199295ecb47393	88def	560623
chr1_100794065_101983457	1	1	0.05	0.5	0.005	main	0.0025	257940a4c5d53d946887fe9de3aaa847	25794	153492
chr1_100794065_101983457	1	1	0.05	0.5	0.01	main	0.005	9351d924bd5596069d02aa56bc24f15a	9351d	603421
chr1_100794065_101983457	1	1	0.05	0.5	0.02	main	0.01	8b086b8accb19c275b0567e971699fee	8b086	569478
chr1_100794065_101983457	1	1	0.05	0.5	0.04	main	0.02	49c1b53050f1ad7c62be9042f8071b30	49c1b	302107
chr1_100794065_101983457	1	1	0.05	0.5	0.1	main	0.05	37606af86f25f905f8a17f24fd4316b1	37606	226822
chr1_100794065_101983457	1	1	0.1	0.5	0.005	main	0.0025	453b0cbbbc0b61716801dcf2d1fc29d8	453b0	283568
chr1_100794065_101983457	1	1	0.1	0.5	0.01	main	0.005	f61a9b061f62bb528578375432abe456	f61a9	1008041
chr1_100794065_101983457	1	1	0.1	0.5	0.02	main	0.01	075d15a66140b03ff71c2ceab43a7b5e	075d1	30161
chr1_100794065_101983457	1	1	0.1	0.5	0.04	main	0.02	8f22fbca81d634d01f3c65093ad3102e	8f22f	586287
chr1_100794065_101983457	1	1	0.1	0.5	0.1	main	0.05	0145f0b0da454f2c252575c742fae38f	0145f	5215
chr1_100794065_101983457	1	1	0.2	0.5	0.005	main	0.0025	1d3ce287c492815a465c188a074cf1e9	1d3ce	119758
chr1_100794065_101983457	1	1	0.2	0.5	0.01	main	0.005	df7f1b2b3c3cf89d764f8244f5d71f95	df7f1	915441
chr1_100794065_101983457	1	1	0.2	0.5	0.02	main	0.01	e1ba79bd141b2b9d5be22010d063ed8a	e1ba7	924583
chr1_100794065_101983457	1	1	0.2	0.5	0.04	main	0.02	6cd7d7b2dbd122321d938edd0c952d82	6cd7d	445821
chr1_100794065_101983457	1	1	0.2	0.5	0.1	main	0.05	b693a35a547c57953bd6370ca65518ce	b693a	747834
chr1_100794065_101983457	1	2	0.01	0.5	0.005	main	0.0025	7a64db0ec323a677b4ce96062fac61b4	7a64d	501325
chr1_100794065_101983457	1	2	0.01	0.5	0.01	main	0.005	bba7cec7006489ae1ed5fb75bf4f5185	bba7c	768636
chr1_100794065_101983457	1	2	0.01	0.5	0.02	main	0.01	cdae04ecbe439984ab4172dec77c79ba	cdae0	842464
chr1_100794065_101983457	1	2	0.01	0.5	0.04	main	0.02	552a080d0f815b4058ed630f65cd7f94	552a0	348832
chr1_100794065_101983457	1	2	0.01	0.5	0.1	main	0.05	b6e48b7685431a670b6fdad2288a92ef	b6e48	749128
chr1_100794065_101983457	1	2	0.05	0.5	0.005	main	0.0025	e5c7c66e69fb11441979a7813fc0bdb1	e5c7c	941180
